qPCR_name,new_name,plate
SqmUp_1_0522_10,522.5Sqm.Up.1,MB
SqmUp_1_0622_10,622.5Sqm.Up.1,MB
SqmUp_1_0622_TR2_10,622.5Sqm.Up.1,MB
SqmUp_1_0622_TR3_10,622.5Sqm.Up.1,MB
SqmUp_2_0322_10,322.5Sqm.Up.2,MB
SqmUp_2_0422_10,422.5Sqm.Up.2,MB
SqmUp_2_0522_10,522.5Sqm.Up.2,MB
SqmUp_2_0622_10,622.5Sqm.Up.2,MB
SqmUp_3_0322_10,322.5Sqm.Up.3,MB
SqmUp_3_0422_10,422.5Sqm.Up.3,MB
SqmUp_3_0522_10,522.5Sqm.Up.3,MB
SqmUp_3_0622_10,622.5Sqm.Up.3,MB
